Year,ARHAR,COTTON,GRAM,GROUNDNUT,MAIZE,MOONG,PADDY,RAPESEED AND MUSTARD,SUGARCANE,WHEAT
UP,23,0,21,0,21,0,28,22,45,31
KA,16,0,0,17,20,7,0,0,86,0
GJ,19,42,0,30,0,0,0,19,0,0
AP,24,44,26,30,37,13,46,0,91,0
MH,25,33,18,32,0,15,0,0,85,0
PB,0,50,0,0,0,0,45,0,0,35
HR,0,44,0,0,0,0,0,27,0,0
RJ,0,0,12,0,19,9,0,19,0,29
MP,0,0,16,0,0,0,0,17,0,22
TN,0,0,0,30,0,0,0,0,89,0
BR,0,0,0,0,19,0,0,0,0,0
OR,0,0,0,0,0,8,25,0,0,0
WB,0,0,0,0,0,0,33,0,0,0
